행정구역,2021년01월_계_총인구수,2021년01월_계_연령구간인구수,2021년01월_계_0~9세,2021년01월_계_10~19세,2021년01월_계_20~29세,2021년01월_계_30~39세,2021년01월_계_40~49세,2021년01월_계_50~59세,2021년01월_계_60~69세,2021년01월_계_70~79세,2021년01월_계_80~89세,2021년01월_계_90~99세,2021년01월_계_100세 이상
서울특별시 노원구 공릉2동(1135060000),"39,608","39,608","2,877","4,371","6,676","5,191","6,530","6,095","4,511","2,230",971,142,14
서울특별시 노원구 하계1동(1135061100),"27,321","27,321","1,169","3,134","4,610","2,755","4,192","4,959","3,584","1,830",948,131,9
서울특별시 노원구 하계2동(1135061200),"22,625","22,625","1,487","2,822","3,092","2,543","4,067","3,911","2,538","1,373",691,97,4
서울특별시 노원구 중계본동(1135061900),"24,791","24,791","1,518","4,538","3,216","1,896","5,052","4,570","2,264","1,090",554,79,14
서울특별시 노원구 중계1동(1135062100),"27,453","27,453","1,984","5,750","2,984","1,999","6,594","4,483","2,082",998,495,70,14
서울특별시 노원구 중계4동(1135062400),"20,640","20,640","1,173","2,292","2,602","1,993","3,516","3,600","2,652","1,912",766,122,12
서울특별시 노원구 중계2.3동(1135062500),"35,311","35,311","2,062","3,182","4,320","4,261","5,869","5,656","4,840","3,343","1,547",216,15
서울특별시 노원구 상계1동(1135063000),"38,948","38,948","2,335","3,367","5,281","4,894","5,710","6,981","5,930","2,941","1,241",218,50
서울특별시 노원구 상계2동(1135064000),"20,518","20,518",993,"1,855","3,304","2,333","3,085","3,950","2,877","1,432",580,95,14
서울특별시 노원구 상계3.4동(1135066500),"27,007","27,007","1,408","2,114","3,240","2,957","3,985","4,770","4,363","2,776","1,225",136,33
서울특별시 노원구 상계5동(1135067000),"24,580","24,580","1,096","2,055","3,457","2,619","3,710","4,520","3,692","2,302",948,154,27
서울특별시 노원구 상계6.7동(1135069500),"33,377","33,377","2,460","3,032","4,623","4,886","5,511","5,672","3,999","1,987","1,003",197,7
서울특별시 노원구 상계8동(1135070000),"22,876","22,876","2,466","2,023","2,701","4,741","3,881","3,033","2,250","1,166",524,87,4
서울특별시 노원구 상계9동(1135071000),"20,982","20,982","1,343","2,123","2,740","2,792","3,455","3,603","2,773","1,385",651,113,4
서울특별시 노원구 상계10동(1135072000),"18,212","18,212","1,223","1,614","2,630","2,795","2,870","3,180","2,339",978,504,75,4
서울특별시 은평구 (1138000000),"479,223","479,223","29,387","38,521","66,911","68,232","76,435","77,199","64,721","39,219","16,040","2,132",426
서울특별시 은평구 녹번동(1138051000),"37,372","37,372","2,465","2,312","5,067","6,061","5,803","5,898","5,116","3,156","1,291",178,25
서울특별시 은평구 불광제1동(1138052000),"39,616","39,616","2,367","2,688","5,432","5,410","5,986","6,750","5,625","3,536","1,585",203,34
서울특별시 은평구 불광제2동(1138053000),"28,340","28,340","1,109","1,798","4,308","3,848","3,924","4,919","4,435","2,767","1,097",123,12
서울특별시 은평구 갈현제1동(1138055100),"23,103","23,103",992,"1,586","3,730","3,035","3,319","3,986","3,500","2,109",722,109,15
서울특별시 은평구 갈현제2동(1138055200),"28,818","28,818","1,546","2,452","4,373","3,878","4,727","4,781","3,692","2,316",917,117,19
서울특별시 은평구 구산동(1138056000),"32,695","32,695","1,781","2,861","4,447","4,094","5,109","5,666","4,623","2,776","1,158",160,20
서울특별시 은평구 대조동(1138057000),"27,244","27,244","1,178","1,653","4,895","4,188","4,091","4,157","3,543","2,393","1,014",110,22
서울특별시 은평구 응암제1동(1138058000),"30,973","30,973","2,241","2,600","4,215","5,179","5,214","4,595","3,622","2,265",905,127,10
서울특별시 은평구 응암제2동(1138059000),"27,546","27,546","3,237","2,285","2,768","4,991","5,213","3,606","2,916","1,721",697,91,21
서울특별시 은평구 응암제3동(1138060000),"25,186","25,186",987,"1,630","3,634","3,370","3,582","4,232","3,797","2,624","1,158",151,21
